Source,Target,Weight
Lumajang,Probolinggo,48.7
Lumajang,Situbondo,130
Lumajang,Jember,62.7
Jember,Mojokerto,224
Jember,Jombang,221
Jember,Pasuruan,137
Jember,Probolinggo,98.1
Jember,Bondowoso,33.6
Jember,Lumajang,62.7
Jember,Banyuwangi,106
Banyuwangi,Bondowoso,98.6
Banyuwangi,Situbondo,94.7
Banyuwangi,Jember,106
Pantai Pasir Putih,Situbondo,21.8
Situbondo,Pantai Pasir Putih,21.8
Pantai Pasir Putih,Bondowoso,44.4
Bondowoso,Pantai Pasir Putih,44.4
Pantai Pasir Putih,Probolinggo,76
Probolinggo,Pantai Pasir Putih,76
Pantai Pasir Putih,Lumajang,109
Lumajang,Pantai Pasir Putih,109
Danau Telaga Sarangan,Magetan,15
Magetan,Danau Telaga Sarangan,15
Danau Telaga Sarangan,Ponorogo,43.4
Ponorogo,Danau Telaga Sarangan,43.4
Danau Telaga Sarangan,Pacitan,88.7
Pacitan,Danau Telaga Sarangan,88.7
Ranu Kumbolo,Malang,47.2
Malang,Ranu Kumbolo,47.2
Ranu Kumbolo,Pasuruan,92.8
Pasuruan,Ranu Kumbolo,92.8
Ranu Kumbolo,Probolinggo,87.6
Probolinggo,Ranu Kumbolo,87.6
Ranu Kumbolo,Lumajang,42.2
Lumajang,Ranu Kumbolo,42.2
Ranu Kumbolo,Blitar,119
Blitar,Ranu Kumbolo,119
Pantai Sendangbiru,Malang,69.3
Malang,Pantai Sendangbiru,69.3
Pantai Sendangbiru,Blitar,90.5
Blitar,Pantai Sendangbiru,90.5
Pantai Sendangbiru,Lumajang,107
Lumajang,Pantai Sendangbiru,107
Pantai Balekambang,Malang,56.3
Malang,Pantai Balekambang,56.3
Pantai Balekambang,Lumajang,129
Lumajang,Pantai Balekambang,129
Pantai Balekambang,Blitar,71
Blitar,Pantai Balekambang,71
Kawah Ijen,Banyuwangi,44.7
Banyuwangi,Kawah Ijen,44.7
Kawah Ijen,Situbondo,78.7
Situbondo,Kawah Ijen,78.7
Kawah Ijen,Bondowoso,68.2
Bondowoso,Kawah Ijen,68.2
Pantai Papuma,Jember,40.1
Jember,Pantai Papuma,40.1
Pantai Papuma,Lumajang,64.3
Lumajang,Pantai Papuma,64.3
Pantai Papuma,Malang,173
Malang,Pantai Papuma,173
Goa Maharani,Lamongan,42.6
Lamongan,Goa Maharani,42.6
Goa Maharani,Gresik,52.6
Gresik,Goa Maharani,52.6
Goa Maharani,Tuban,35.2
Tuban,Goa Maharani,35.2
Goa Maharani,Bojonegoro,71.6
Bojonegoro,Goa Maharani,71.6
Air Terjun Mardakaripura,Probolinggo,37.4
Probolinggo,Air Terjun Mardakaripura,37.4
Air Terjun Mardakaripura,Pasuruan,49.8
Pasuruan,Air Terjun Mardakaripura,49.8
Air Terjun Mardakaripura,Lumajang,72.9
Lumajang,Air Terjun Mardakaripura,72.9
Air Terjun Mardakaripura,Jember,130
Jember,Air Terjun Mardakaripura,130
Coban Rondo,Batu,10.6
Batu,Coban Rondo,10.6
Coban Rondo,Kediri,81.7
Kediri,Coban Rondo,81.7
Coban Rondo,Jombang,71.3
Jombang,Coban Rondo,71.3
Coban Rondo,Blitar,69.9
Blitar,Coban Rondo,69.9
Pantai Batu Bengkung,Malang,62.2
Malang,Pantai Batu Bengkung,62.2
Pantai Batu Bengkung,Lumajang,116
Lumajang,Pantai Batu Bengkung,116
Pantai Batu Bengkung,Blitar,81.1
Blitar,Pantai Batu Bengkung,81.1
Pantai Tiga Warna,Malang,71.1
Malang,Pantai Tiga Warna,71.1
Pantai Tiga Warna,Lumajang,108
Lumajang,Pantai Tiga Warna,108
Pantai Tiga Warna,Blitar,92.1
Blitar,Pantai Tiga Warna,92.1
Pantai Kletekan,Malang,59.9
Malang,Pantai Kletekan,59.9
Pantai Kletekan,Lumajang,119
Lumajang,Pantai Kletekan,199
Pantai Kletekan,Blitar,78.8
Blitar,Pantai Kletekan,78.8
Pantai Klayar,Pacitan,29
Pacitan,Pantai Klayar,29
Pantai Klayar,Trenggalek,130
Trenggalek,Pantai Klayar,130
Pantai Klayar,Magetan,124
Magetan,Pantai Klayar,124
Goa Gong,Pacitan,23.4
Pacitan,Goa Gong,23.4
Goa Gong,Trenggalek,126
Trenggalek,Goa Gong,126
Goa Gong,Magetan,112
Magetan,Goa Gong,112
Air Terjun Toroan,Sampang,42.5
Sampang,Air Terjun Toroan,42.5
Air Terjun Toroan,Bangkalan,70.2
Bangkalan,Air Terjun Toroan,70.2
Air Terjun Toroan,Pamekasan,53.3
Pamekasan,Air Terjun Toroan,53.3
Air Terjun Toroan,Sumenep,69.6
Sumenep,Air Terjun Toroan,69.6
Pantai Kahuripan,Sumenep,33.8
Sumenep,Pantai Kahuripan,33.8
Pantai Kahuripan,Pamekasan,64.5
Pamekasan,Pantai Kahuripan,64.5
Gili Labak,Sumenep,38.1
Sumenep,Gili Labak,38.1
Gili Labak,Pamekasan,88.7
Pamekasan,Gili Labak,88.7
Danau Kastoba,Gresik,159.3
Gresik,Danau Kastoba,159.3
Taman Nasional Baluran,Banyuwangi,46.1
Banyuwangi,Taman Nasional Baluran,46.1
Taman Nasional Baluran,Situbondo,67.3
Situbondo,Taman Nasional Baluran,67.3
Wisata Gunung Kelud,Kediri,42.8
Kediri,Wisata Gunung Kelud,42.8
Wisata Gunung Kelud,Blitar,35.1
Blitar,Wisata Gunung Kelud,35.1
Wisata Gunung Kelud,Tulungagung,60.7
Tulungagung,Wisata Gunung Kelud,60.7
Wisata Gunung Kelud,Malang,99.9
Malang,Wisata Gunung Kelud,99.9
Wisata Gunung Kelud,Batu,88.4
Batu,Wisata Gunung Kelud,88.4
Wisata Gunung Kelud,Jombang,77.4
Jombang,Wisata Gunung Kelud,77.4
Wisata Gunung Kelud,Mojokerto,95.7
Mojokerto,Wisata Gunung Kelud,95.7
Coban Talun,Batu,9.4
Batu,Coban Talun,9.4
Coban Talun,Mojokerto,55.2
Mojokerto,Coban Talun,55.2
Coban Talun,Sidoarjo,70.3
Sidoarjo,Coban Talun,70.3
Coban Talun,Jombang,67.9
Jombang,Coban Talun,67.9
Gunung Wilis,Ponorogo,81.2
Ponorogo,Gunung Wilis,81.2
Gunung Wilis,Madiun,63.4
Madiun,Gunung Wilis,63.4
Gunung Wilis,Nganjuk,30.9
Nganjuk,Gunung Wilis,30.9
Gunung Wilis,Kediri,50.7
Kediri,Gunung Wilis,50.7
Gunung Wilis,Nganjuk,71.7
Nganjuk,Gunung Wilis,71.7
